season,year,month,week,rate,include
2015-2016,2016,April,15,1.25,TRUE
2015-2016,2016,April,16,0.7,TRUE
2015-2016,2016,April,17,0.8,TRUE
2015-2016,2016,April,18,0.7,TRUE
2015-2016,2016,May,19,0.6,TRUE
2015-2016,2016,May,20,0.5,TRUE
2015-2016,2016,May,21,0.2,TRUE
2015-2016,2016,May,22,0.1,TRUE
2016-2017,2016,August,32,0,TRUE
2016-2017,2016,August,33,0,TRUE
2016-2017,2016,August,34,0,TRUE
2016-2017,2016,August,35,0,TRUE
2016-2017,2016,September,36,0,TRUE
2016-2017,2016,September,37,0,TRUE
2016-2017,2016,September,38,0,TRUE
2016-2017,2016,September,39,0,TRUE
2016-2017,2016,October,40,0,TRUE
2016-2017,2016,October,41,0,TRUE
2016-2017,2016,October,42,0,TRUE
2016-2017,2016,October,43,0,TRUE
2016-2017,2016,October,44,0.01,TRUE
2016-2017,2016,November,45,0.015,TRUE
2016-2017,2016,November,46,0.2,TRUE
2016-2017,2016,November,47,0.25,TRUE
2016-2017,2016,November,48,0.35,TRUE
2016-2017,2016,December,49,0.7,TRUE
2016-2017,2016,December,50,1,TRUE
2016-2017,2016,December,51,1.1,TRUE
2016-2017,2016,December,52,1.2,TRUE
2016-2017,2017,December,1,1.7,TRUE
2016-2017,2017,January,2,2,TRUE
2016-2017,2017,January,3,1.8,TRUE
2016-2017,2017,January,4,1.7,TRUE
2016-2017,2017,January,5,1.75,TRUE
2016-2017,2017,February,6,1.74,TRUE
2016-2017,2017,February,7,1.6,TRUE
2016-2017,2017,February,8,1.65,TRUE
2016-2017,2017,February,9,1.3,TRUE
2016-2017,2017,March,10,1.35,TRUE
2016-2017,2017,March,11,1.35,TRUE
2016-2017,2017,March,12,0.7,TRUE
2016-2017,2017,March,13,0.3,TRUE
2016-2017,2017,April,14,0.28,TRUE
2016-2017,2017,April,15,0.18,TRUE
2016-2017,2017,April,16,0.15,TRUE
2016-2017,2017,April,17,0.12,TRUE
2016-2017,2017,April,18,0.22,TRUE
2016-2017,2017,May,19,0.1,TRUE
2016-2017,2017,May,20,0.045,TRUE
2016-2017,2017,May,21,0.04,TRUE
2016-2017,2017,May,22,0.04,TRUE
2017-2018,2017,August,32,0,TRUE
2017-2018,2017,August,33,0,TRUE
2017-2018,2017,August,34,0,TRUE
2017-2018,2017,August,35,0,TRUE
2017-2018,2017,September,36,0,TRUE
2017-2018,2017,September,37,0,TRUE
2017-2018,2017,September,38,0,TRUE
2017-2018,2017,September,39,0,TRUE
2017-2018,2017,October,40,0,TRUE
2017-2018,2017,October,41,0.1,TRUE
2017-2018,2017,October,42,0,TRUE
2017-2018,2017,October,43,0.1,TRUE
2017-2018,2017,October,44,0.1,TRUE
2017-2018,2017,November,45,0.2,TRUE
2017-2018,2017,November,46,0.1,TRUE
2017-2018,2017,November,47,0.3,TRUE
2017-2018,2017,November,48,0.5,TRUE
2017-2018,2017,December,49,0.5,TRUE
2017-2018,2017,December,50,0.7,TRUE
2017-2018,2017,December,51,1.7,TRUE
2017-2018,2017,December,52,3.4,TRUE
2017-2018,2018,January,1,5.5,TRUE
2017-2018,2018,January,2,5.8,TRUE
2017-2018,2018,January,3,5.5,TRUE
2017-2018,2018,January,4,4.5,TRUE
2017-2018,2018,January,5,4.4,TRUE
2017-2018,2018,February,6,4.2,TRUE
2017-2018,2018,February,7,3.9,TRUE
2017-2018,2018,February,8,3.7,TRUE
2017-2018,2018,February,9,3.4,TRUE
2017-2018,2018,March,10,3.1,TRUE
2017-2018,2018,March,11,2.9,TRUE
2017-2018,2018,March,12,2.3,TRUE
2017-2018,2018,March,13,1.9,TRUE
2017-2018,2018,April,14,1.8,TRUE
2017-2018,2018,April,15,1.5,TRUE
2017-2018,2018,April,16,0.6,TRUE
2017-2018,2018,April,17,0.2,TRUE
2017-2018,2018,April,18,0.2,TRUE
2017-2018,2018,May,19,0.3,TRUE
2017-2018,2018,May,20,0.2,TRUE
2017-2018,2018,May,21,0,TRUE
2017-2018,2018,May,22,0,TRUE
2018-2019,2018,August,32,0,TRUE
2018-2019,2018,August,33,0,TRUE
2018-2019,2018,August,34,0,TRUE
2018-2019,2018,August,35,0,TRUE
2018-2019,2018,September,36,0,TRUE
2018-2019,2018,September,37,0,TRUE
2018-2019,2018,September,38,0,TRUE
2018-2019,2018,September,39,0,TRUE
2018-2019,2018,October,40,0,TRUE
2018-2019,2018,October,41,0,TRUE
2018-2019,2018,October,42,0,TRUE
2018-2019,2018,October,43,0.1,TRUE
2018-2019,2018,October,44,0.1,TRUE
2018-2019,2018,November,45,0.2,TRUE
2018-2019,2018,November,46,0.2,TRUE
2018-2019,2018,November,47,0.4,TRUE
2018-2019,2018,November,48,0.5,TRUE
2018-2019,2018,December,49,0.7,TRUE
2018-2019,2018,December,50,1.1,TRUE
2018-2019,2018,December,51,1.9,TRUE
2018-2019,2018,December,52,3.2,TRUE
2018-2019,2019,December,1,4.2,TRUE
2018-2019,2019,January,2,5.4,TRUE
2018-2019,2019,January,3,5.7,TRUE
2018-2019,2019,January,4,5.7,TRUE
2018-2019,2019,January,5,5.7,TRUE
2018-2019,2019,February,6,5.4,TRUE
2018-2019,2019,February,7,5.4,TRUE
2018-2019,2019,February,8,3.9,TRUE
2018-2019,2019,February,9,2.4,TRUE
2018-2019,2019,March,10,2,TRUE
2018-2019,2019,March,11,0.9,TRUE
2018-2019,2019,March,12,0.8,TRUE
2018-2019,2019,March,13,0.6,TRUE
2018-2019,2019,April,14,0.6,TRUE
2018-2019,2019,April,15,0.8,TRUE
2018-2019,2019,April,16,0.7,TRUE
2018-2019,2019,April,17,0.5,TRUE
2018-2019,2019,April,18,0.3,TRUE
2018-2019,2019,May,19,0.2,TRUE
2018-2019,2019,May,20,0.1,TRUE
2018-2019,2019,May,21,0,TRUE
2018-2019,2019,May,22,0,TRUE
2019-2020,2019,August,32,0,TRUE
2019-2020,2019,August,33,0,TRUE
2019-2020,2019,August,34,0,TRUE
2019-2020,2019,August,35,0,TRUE
2019-2020,2019,September,36,0,TRUE
2019-2020,2019,September,37,0,TRUE
2019-2020,2019,September,38,0,TRUE
2019-2020,2019,September,39,0,TRUE
2019-2020,2019,September,40,0,TRUE
2019-2020,2019,October,41,0.2,TRUE
2019-2020,2019,October,42,0.2,TRUE
2019-2020,2019,October,43,0.2,TRUE
2019-2020,2019,October,44,0.2,TRUE
2019-2020,2019,November,45,0.2,TRUE
2019-2020,2019,November,46,0.5,TRUE
2019-2020,2019,November,47,0.8,TRUE
2019-2020,2019,November,48,1.5,TRUE
2019-2020,2019,December,49,2.3,TRUE
2019-2020,2019,December,50,3.6,TRUE
2019-2020,2019,December,51,4.5,TRUE
2019-2020,2019,December,52,4.5,TRUE
2019-2020,2020,December,1,3.9,TRUE
2019-2020,2020,January,2,2.1,TRUE
2019-2020,2020,January,3,1.3,TRUE
2019-2020,2020,January,4,1.1,TRUE
2019-2020,2020,January,5,0.8,TRUE
2019-2020,2020,February,6,0.6,TRUE
2019-2020,2020,February,7,0.7,TRUE
2019-2020,2020,February,8,1,TRUE
2019-2020,2020,February,9,0.6,TRUE
2019-2020,2020,March,10,0.5,TRUE
2019-2020,2020,March,11,0.4,TRUE
2019-2020,2020,March,12,0.3,TRUE
2019-2020,2020,March,13,0.2,TRUE
2019-2020,2020,March,14,0.15,TRUE
2019-2020,2020,April,15,0,TRUE
2019-2020,2020,April,16,,TRUE
2019-2020,2020,April,17,,TRUE
2019-2020,2020,April,18,,TRUE
2019-2020,2020,May,19,,TRUE
2019-2020,2020,May,20,,TRUE
2019-2020,2020,May,21,,TRUE
2019-2020,2020,May,22,,TRUE
2019-2020,2020,June,23,,TRUE
2019-2020,2020,June,24,,TRUE
2019-2020,2020,June,25,,TRUE
2019-2020,2020,June,26,,TRUE
2019-2020,2020,June,27,0.9,TRUE
2019-2020,2020,July,28,1,TRUE
2019-2020,2020,July,29,0.7,TRUE
2019-2020,2020,July,30,0.7,TRUE
2019-2020,2020,July,31,0.7,TRUE
2020-2021,2020,August,32,0.7,TRUE
2020-2021,2020,August,33,0.5,TRUE
2020-2021,2020,August,34,0.8,TRUE
2020-2021,2020,August,35,0.6,TRUE
2020-2021,2020,August,36,0.6,TRUE
2020-2021,2020,September,37,1.2,TRUE
2020-2021,2020,September,38,2.3,TRUE
2020-2021,2020,September,39,3.6,TRUE
2020-2021,2020,September,40,3.5,TRUE
2020-2021,2020,October,41,4.6,TRUE
2020-2021,2020,October,42,5.7,TRUE
2020-2021,2020,October,43,7,TRUE
2020-2021,2020,October,44,8.8,TRUE
2020-2021,2020,November,45,9.7,TRUE
2020-2021,2020,November,46,10.5,TRUE
2020-2021,2020,November,47,10.2,TRUE
2020-2021,2020,November,48,8.5,TRUE
2020-2021,2020,November,49,7.4,TRUE
2020-2021,2020,December,50,8,TRUE
2020-2021,2020,December,51,9.9,TRUE
2020-2021,2020,December,52,14.1,TRUE
2020-2021,2020,December,53,19.9,TRUE
2020-2021,2021,January,1,24.3,TRUE
2020-2021,2021,January,2,26.1,TRUE
2020-2021,2021,January,3,23.3,TRUE
2020-2021,2021,January,4,19.6,FALSE
2020-2021,2021,February,5,14.6,FALSE
2020-2021,2021,February,6,13,FALSE
2020-2021,2021,February,7,9.6,FALSE
2020-2021,2021,February,8,6.3,FALSE
2020-2021,2021,March,9,4.5,FALSE
2020-2021,2021,March,10,3.5,FALSE
2020-2021,2021,March,11,2.5,FALSE
2020-2021,2021,March,12,2.2,FALSE
2020-2021,2021,March,13,1.8,FALSE
2020-2021,2021,April,14,1.9,FALSE
2020-2021,2021,April,15,1.2,FALSE
2020-2021,2021,April,16,1,FALSE
2020-2021,2021,April,17,0.8,FALSE
2020-2021,2021,May,18,0.7,FALSE
2020-2021,2021,May,19,0.8,FALSE
2020-2021,2021,May,20,0.8,FALSE
2020-2021,2021,May,21,0.9,FALSE
2020-2021,2021,June,22,1.1,FALSE
2020-2021,2021,June,23,1.5,FALSE
2020-2021,2021,June,24,2,FALSE
2020-2021,2021,June,25,1.8,FALSE
2020-2021,2021,June,26,2.9,FALSE
2020-2021,2021,July,27,4.1,FALSE
2020-2021,2021,July,28,5.3,FALSE
2020-2021,2021,July,29,6.6,FALSE
2020-2021,2021,July,30,6.4,FALSE
2021-2022,2021,August,31,5.6,FALSE
2021-2022,2021,August,32,5.6,FALSE
2021-2022,2021,August,33,6.2,FALSE
2021-2022,2021,August,34,4.9,FALSE
2021-2022,2021,August,35,6.2,FALSE
2021-2022,2021,September,36,6,FALSE
2021-2022,2021,September,37,5.1,FALSE
2021-2022,2021,September,38,3.9,FALSE
2021-2022,2021,September,39,3.7,FALSE
2021-2022,2021,October,40,5,FALSE
2021-2022,2021,October,41,5.8,FALSE
2021-2022,2021,October,42,5.6,FALSE
2021-2022,2021,October,43,6.6,FALSE
2021-2022,2021,November,44,5.6,FALSE
2021-2022,2021,November,45,6.2,FALSE
2021-2022,2021,November,46,4.8,FALSE
2021-2022,2021,November,47,5.9,FALSE
2021-2022,2021,November,48,5.2,FALSE
2021-2022,2021,December,49,7.4,FALSE
2021-2022,2021,December,50,5.1,FALSE
